timestamp,voltage,current,power,flow_rate,spindle_temp,vibration_rms,vibration_x_rms,vibration_y_rms,vibration_z_rms,motor_current,ground_present,cycle_count
2025-09-10 11:40:00,231.72,6.98,1618.49,2.66,50.00,0.580,0.490,0.684,0.625,2.72,1,33
2025-09-10 11:45:00,218.50,7.61,1662.30,2.83,45.31,0.321,0.304,0.377,0.382,2.56,1,34
2025-09-10 11:50:00,223.01,8.55,1905.88,3.00,44.01,0.580,0.667,0.690,0.638,3.89,1,35
2025-09-10 11:55:00,221.31,6.99,1546.44,3.20,41.01,0.506,0.441,0.592,0.563,3.12,1,36
2025-09-10 12:00:00,227.38,8.71,1979.37,2.37,40.71,0.651,0.620,0.531,0.643,2.80,1,37
2025-09-10 12:05:00,230.86,7.55,1742.74,3.23,52.81,0.411,0.438,0.395,0.375,2.60,1,38
2025-09-10 12:10:00,228.83,7.55,1728.43,2.76,49.55,0.722,0.673,0.585,0.831,2.89,1,39
2025-09-10 12:15:00,226.13,9.45,2137.06,2.06,48.14,0.473,0.527,0.461,0.564,2.67,1,40
2025-09-10 12:20:00,230.59,7.07,1630.35,2.07,45.41,0.560,0.629,0.602,0.659,3.61,1,41
2025-09-10 12:25:00,220.76,7.79,1720.57,3.42,53.65,0.612,0.652,0.520,0.709,3.26,1,42
2025-09-10 12:30:00,227.34,7.48,1700.15,3.05,47.43,0.396,0.422,0.377,0.435,2.76,1,43
2025-09-10 12:35:00,225.97,7.72,1744.07,3.25,43.17,0.405,0.451,0.422,0.376,3.16,1,44
2025-09-10 12:40:00,227.46,8.03,1827.30,3.19,54.32,0.668,0.710,0.610,0.712,3.43,1,45
2025-09-10 12:45:00,219.31,9.36,2051.84,2.35,43.28,0.703,0.604,0.576,0.839,3.42,1,46
2025-09-10 12:50:00,228.76,7.87,1799.47,3.33,47.79,0.659,0.629,0.633,0.566,3.53,1,47
2025-09-10 12:55:00,230.50,9.08,2093.22,3.33,51.23,0.409,0.459,0.442,0.404,3.34,1,48
2025-09-10 13:00:00,230.84,6.86,1584.53,2.20,45.90,0.566,0.579,0.524,0.623,3.16,1,49
2025-09-10 13:05:00,229.41,9.18,2105.08,2.64,53.42,0.523,0.452,0.599,0.513,3.63,1,50
2025-09-10 13:10:00,229.76,7.33,1684.57,3.17,46.24,0.420,0.410,0.455,0.375,3.00,1,51
2025-09-10 13:15:00,230.50,6.74,1553.99,2.23,44.51,0.376,0.333,0.364,0.351,3.20,1,52
2025-09-10 13:20:00,218.87,9.00,1969.56,2.58,51.09,0.773,0.624,0.891,0.796,3.22,1,53
2025-09-10 13:25:00,231.20,7.40,1709.91,2.58,53.16,0.718,0.729,0.785,0.804,3.85,1,54
2025-09-10 13:30:00,224.84,7.32,1645.53,2.73,44.61,0.634,0.710,0.691,0.721,3.88,1,55
2025-09-10 13:35:00,231.73,8.10,1877.56,3.36,48.06,0.631,0.526,0.613,0.724,2.77,1,56
2025-09-10 13:40:00,221.64,7.48,1658.34,2.68,43.74,0.740,0.674,0.873,0.717,3.75,1,57
2025-09-10 13:45:00,224.58,8.75,1964.46,2.08,54.18,0.412,0.341,0.487,0.336,2.55,1,58
2025-09-10 13:50:00,221.46,9.02,1997.07,2.93,42.06,0.537,0.454,0.633,0.529,2.88,1,59
2025-09-10 13:55:00,223.16,8.32,1856.21,3.45,50.21,0.689,0.596,0.637,0.711,3.89,1,60
2025-09-10 14:00:00,226.06,9.22,2085.21,2.56,54.01,0.399,0.414,0.452,0.358,3.55,1,61
2025-09-10 14:05:00,222.22,8.55,1900.62,3.21,51.54,0.583,0.476,0.591,0.621,2.60,1,62
2025-09-10 14:10:00,227.07,6.54,1484.55,2.63,46.33,0.517,0.488,0.598,0.508,2.73,1,63
2025-09-10 14:15:00,220.47,8.07,1778.11,2.98,48.47,0.760,0.843,0.749,0.859,3.39,1,64
2025-09-10 14:20:00,222.51,7.24,1610.21,3.40,42.74,0.525,0.578,0.540,0.561,3.00,1,65
2025-09-10 14:25:00,224.92,7.48,1681.29,2.73,44.03,0.429,0.391,0.446,0.494,3.33,1,66
2025-09-10 14:30:00,225.23,7.07,1593.11,2.36,44.91,0.578,0.518,0.572,0.627,3.17,1,67
2025-09-10 14:35:00,218.24,7.38,1611.21,2.61,42.14,0.632,0.599,0.645,0.592,3.99,1,68
2025-09-10 14:40:00,225.71,7.56,1705.30,2.68,43.21,0.415,0.452,0.385,0.456,3.93,1,69
2025-09-10 14:45:00,227.66,7.07,1610.62,3.11,42.70,0.595,0.657,0.618,0.709,3.75,1,70
2025-09-10 14:50:00,222.15,7.58,1684.46,2.45,50.04,0.363,0.297,0.299,0.333,3.92,1,71
2025-09-10 14:55:00,226.93,8.76,1987.54,2.15,38.21,0.442,0.438,0.414,0.525,2.88,1,72
2025-09-10 15:00:00,230.06,6.84,1574.16,2.10,46.36,0.589,0.632,0.507,0.662,3.92,1,73
2025-09-10 15:05:00,219.19,7.24,1587.96,2.84,45.07,0.598,0.626,0.664,0.569,3.86,1,74
2025-09-10 15:10:00,222.16,8.27,1836.30,2.64,47.67,0.330,0.391,0.277,0.365,3.44,1,75
2025-09-10 15:15:00,221.71,6.74,1495.08,2.36,47.38,0.378,0.364,0.407,0.374,2.55,1,76
2025-09-10 15:20:00,222.03,7.35,1631.54,3.29,39.21,0.417,0.377,0.465,0.432,3.71,1,77
2025-09-10 15:25:00,220.77,6.84,1511.02,2.34,40.53,0.433,0.371,0.357,0.483,3.39,1,78
2025-09-10 15:30:00,229.54,9.26,2126.36,2.66,45.97,0.452,0.434,0.411,0.459,3.16,1,79
2025-09-10 15:35:00,226.37,9.17,2075.44,3.10,48.26,0.313,0.279,0.335,0.358,3.38,1,80
2025-09-10 15:40:00,218.29,8.79,1919.71,3.23,47.80,0.682,0.593,0.687,0.666,2.92,1,81
2025-09-10 15:45:00,231.96,7.81,1811.04,3.22,54.47,0.535,0.515,0.497,0.450,2.74,1,82
2025-09-10 15:50:00,223.76,7.99,1787.06,2.99,44.81,0.680,0.554,0.568,0.613,2.67,1,83
2025-09-10 15:55:00,228.82,9.09,2081.02,3.24,38.02,0.735,0.724,0.604,0.740,3.43,1,84
2025-09-10 16:00:00,224.98,7.83,1760.71,2.08,42.54,0.366,0.335,0.421,0.363,2.54,1,85
2025-09-10 16:05:00,226.82,8.90,2018.23,3.06,43.28,0.307,0.296,0.273,0.349,2.67,1,86
2025-09-10 16:10:00,231.26,8.44,1952.55,2.23,53.86,0.446,0.483,0.431,0.443,3.21,1,87
2025-09-10 16:15:00,224.40,6.93,1555.94,2.29,48.19,0.673,0.575,0.557,0.747,3.78,1,88
2025-09-10 16:20:00,222.76,8.86,1974.34,2.40,38.04,0.663,0.753,0.684,0.705,3.80,1,89
2025-09-10 16:25:00,224.25,7.95,1783.48,2.50,50.97,0.489,0.573,0.561,0.583,2.86,1,90
2025-09-10 16:30:00,223.36,9.07,2025.45,2.62,43.41,0.536,0.625,0.511,0.641,3.69,1,91
2025-09-10 16:35:00,227.13,6.96,1579.98,3.45,40.15,0.783,0.730,0.658,0.891,2.65,1,92
2025-09-10 16:40:00,230.75,6.55,1510.47,2.22,52.81,0.785,0.651,0.873,0.711,3.43,1,93
2025-09-10 16:45:00,223.56,6.74,1507.04,2.49,49.46,0.567,0.670,0.596,0.655,3.23,1,94
2025-09-10 16:50:00,225.57,8.35,1884.08,2.35,49.63,0.444,0.395,0.371,0.529,3.64,1,95
2025-09-10 16:55:00,227.85,6.80,1549.76,2.25,43.09,0.314,0.292,0.259,0.297,3.15,1,96
2025-09-10 17:00:00,221.42,7.74,1712.93,3.02,41.06,0.388,0.405,0.369,0.416,3.25,1,97
2025-09-11 07:00:00,221.25,8.41,1861.54,2.69,49.34,0.749,0.686,0.763,0.622,3.92,1,98
2025-09-11 07:05:00,231.83,7.40,1714.93,3.44,49.74,0.528,0.634,0.603,0.445,3.07,1,99
2025-09-11 07:10:00,223.03,7.39,1647.63,3.05,38.37,0.715,0.574,0.819,0.795,3.96,1,100
2025-09-11 07:15:00,230.75,8.74,2015.71,3.25,53.35,0.688,0.771,0.611,0.603,2.88,1,101
2025-09-11 07:20:00,228.58,8.80,2012.04,3.02,40.33,0.349,0.284,0.389,0.284,3.05,1,102
2025-09-11 07:25:00,219.84,9.23,2028.88,2.49,45.06,0.400,0.461,0.379,0.401,2.91,1,103
2025-09-11 07:30:00,220.30,9.24,2036.08,3.42,54.45,0.448,0.502,0.442,0.372,3.63,1,104
2025-09-11 07:35:00,221.16,8.53,1886.26,3.01,44.76,0.723,0.604,0.692,0.655,2.69,1,105
2025-09-11 07:40:00,223.16,8.75,1951.99,2.39,44.48,0.619,0.663,0.612,0.649,3.91,1,106
2025-09-11 07:45:00,222.59,8.33,1854.25,2.97,48.80,0.532,0.564,0.451,0.435,2.56,1,107
2025-09-11 07:50:00,231.94,6.85,1588.43,2.35,47.14,0.494,0.583,0.533,0.502,3.38,1,108
2025-09-11 07:55:00,228.17,9.16,2089.20,2.98,52.17,0.608,0.554,0.654,0.539,3.17,1,109
2025-09-11 08:00:00,221.31,7.59,1679.28,3.47,44.24,0.751,0.619,0.684,0.891,3.92,1,110
2025-09-11 08:05:00,229.54,6.78,1555.13,2.32,48.87,0.786,0.733,0.939,0.876,2.81,1,111
2025-09-11 08:10:00,229.62,8.16,1874.28,2.88,51.82,0.416,0.465,0.432,0.379,3.98,1,112
2025-09-11 08:15:00,231.83,8.12,1882.57,3.20,39.87,0.733,0.692,0.818,0.759,2.52,1,113
2025-09-11 08:20:00,221.72,6.88,1525.46,2.63,39.93,0.332,0.313,0.344,0.325,2.83,1,114
2025-09-11 08:25:00,226.61,8.68,1967.38,3.36,49.20,0.451,0.366,0.541,0.513,3.14,1,115
2025-09-11 08:30:00,219.51,8.64,1895.97,2.67,53.29,0.461,0.392,0.484,0.477,3.57,1,116
2025-09-11 08:35:00,223.33,8.29,1851.91,2.44,46.59,0.515,0.436,0.547,0.593,3.33,1,117
2025-09-11 08:40:00,230.12,7.79,1792.66,3.33,45.03,0.714,0.779,0.660,0.660,2.88,1,118
2025-09-11 08:45:00,231.35,8.56,1980.47,2.71,39.55,0.343,0.376,0.325,0.292,2.59,1,119
2025-09-11 08:50:00,231.39,8.19,1893.96,3.01,44.98,0.737,0.714,0.859,0.605,2.93,1,120
2025-09-11 08:55:00,222.37,6.81,1514.55,2.76,40.63,0.541,0.509,0.553,0.458,2.92,1,121
2025-09-11 09:00:00,221.17,7.79,1722.30,2.84,51.05,0.611,0.625,0.637,0.649,3.54,1,122
2025-09-11 09:05:00,218.41,7.32,1598.69,3.14,53.67,0.476,0.408,0.505,0.394,3.61,1,123
2025-09-11 09:10:00,231.61,6.78,1569.19,2.80,44.40,0.527,0.487,0.490,0.620,3.39,1,124
2025-09-11 09:15:00,230.37,6.97,1604.91,3.13,38.85,0.341,0.330,0.355,0.329,2.82,1,125
2025-09-11 09:20:00,225.17,7.54,1696.79,2.17,49.53,0.597,0.551,0.530,0.712,2.58,1,126
2025-09-11 09:25:00,220.86,9.34,2061.96,3.15,50.99,0.445,0.444,0.432,0.379,3.30,1,127
2025-09-11 09:30:00,221.22,8.18,1808.75,3.00,44.02,0.499,0.486,0.491,0.414,2.97,1,128
2025-09-11 09:35:00,224.01,7.71,1727.85,2.96,42.92,0.503,0.437,0.592,0.494,3.53,1,129
2025-09-11 09:40:00,223.07,7.81,1742.18,2.16,45.41,0.500,0.574,0.549,0.445,3.67,1,130
2025-09-11 09:45:00,219.07,8.40,1840.11,2.80,41.30,0.688,0.814,0.728,0.591,2.65,1,131
2025-09-11 09:50:00,221.58,7.02,1555.63,2.23,50.91,0.338,0.355,0.333,0.346,3.37,1,132
2025-09-11 09:55:00,227.54,9.15,2081.08,2.96,54.77,0.462,0.428,0.450,0.456,3.45,1,133
2025-09-11 10:00:00,229.15,8.27,1896.04,2.53,39.26,0.531,0.503,0.486,0.562,3.97,1,134
2025-09-11 10:05:00,219.26,8.28,1816.00,2.58,47.87,0.777,0.634,0.904,0.799,2.78,1,135
2025-09-11 10:10:00,226.47,8.00,1812.69,3.44,45.66,0.705,0.842,0.588,0.747,2.56,1,136
2025-09-11 10:15:00,227.91,9.47,2158.95,2.79,48.37,0.482,0.460,0.535,0.516,2.58,1,137
2025-09-11 10:20:00,226.83,7.50,1702.14,2.49,47.49,0.493,0.563,0.585,0.514,2.73,1,138
2025-09-11 10:25:00,219.14,8.49,1860.69,3.38,43.27,0.628,0.535,0.680,0.524,3.34,1,139
2025-09-11 10:30:00,227.01,7.49,1699.26,2.19,49.95,0.774,0.901,0.648,0.826,3.26,1,140
2025-09-11 10:35:00,218.26,7.43,1620.89,3.43,43.81,0.683,0.820,0.589,0.627,3.68,1,141
2025-09-11 10:40:00,225.11,8.12,1827.72,3.11,46.95,0.631,0.661,0.656,0.544,2.77,1,142
2025-09-11 10:45:00,227.70,8.37,1906.81,3.35,50.26,0.322,0.350,0.382,0.336,3.63,1,143
2025-09-11 10:50:00,228.97,7.20,1649.07,2.36,54.42,0.692,0.607,0.742,0.712,3.16,1,144
2025-09-11 10:55:00,228.77,8.83,2021.06,2.75,45.12,0.381,0.397,0.438,0.313,3.22,1,145
2025-09-11 11:00:00,223.20,9.30,2076.37,3.07,46.77,0.362,0.313,0.355,0.364,3.75,1,146
2025-09-11 11:05:00,219.28,9.23,2024.32,3.23,53.04,0.765,0.734,0.727,0.730,2.62,1,147
2025-09-11 11:10:00,221.14,7.46,1648.86,2.15,50.15,0.468,0.381,0.546,0.462,3.75,1,148
2025-09-11 11:15:00,228.62,7.91,1807.80,2.92,53.40,0.310,0.266,0.364,0.323,3.13,1,149
2025-09-11 11:20:00,228.87,7.21,1650.80,2.18,42.05,0.619,0.511,0.703,0.619,3.30,1,150
2025-09-11 11:25:00,226.85,8.23,1865.85,3.08,42.95,0.301,0.309,0.263,0.321,3.29,1,151
2025-09-11 11:30:00,223.05,9.36,2087.78,2.82,51.37,0.554,0.637,0.453,0.529,3.06,1,152
2025-09-11 11:35:00,228.46,7.57,1729.75,2.10,42.10,0.629,0.649,0.693,0.536,3.03,1,153
2025-09-11 11:40:00,222.74,8.43,1877.34,3.25,49.64,0.790,0.690,0.675,0.859,3.92,1,154
2025-09-11 11:45:00,218.52,7.10,1552.52,3.19,53.06,0.458,0.439,0.516,0.453,2.55,1,155
2025-09-11 11:50:00,227.06,7.36,1670.76,3.29,38.81,0.628,0.703,0.612,0.603,3.16,1,156
2025-09-11 11:55:00,231.39,7.52,1739.39,2.28,49.77,0.484,0.439,0.403,0.469,3.15,1,157
2025-09-11 12:00:00,231.93,7.04,1633.11,2.44,39.74,0.464,0.454,0.504,0.402,3.17,1,158
2025-09-11 12:05:00,224.26,8.68,1946.67,3.37,48.45,0.517,0.578,0.426,0.553,3.11,1,159
2025-09-11 12:10:00,225.18,8.75,1970.28,2.24,38.53,0.724,0.706,0.616,0.648,3.47,1,160
2025-09-11 12:15:00,223.07,9.35,2085.35,2.05,40.61,0.525,0.513,0.436,0.449,3.05,1,161
2025-09-11 12:20:00,222.40,7.34,1631.55,3.44,38.44,0.393,0.458,0.333,0.436,3.56,1,162
2025-09-11 12:25:00,221.00,8.34,1842.21,3.04,54.98,0.400,0.332,0.348,0.434,4.00,1,163
2025-09-11 12:30:00,229.35,9.40,2156.48,3.48,49.35,0.655,0.600,0.602,0.565,3.56,1,164
2025-09-11 12:35:00,227.80,7.02,1599.70,2.54,41.81,0.793,0.709,0.791,0.748,3.36,1,165
2025-09-11 12:40:00,224.54,9.45,2121.72,2.19,53.03,0.333,0.362,0.330,0.321,3.11,1,166
2025-09-11 12:45:00,226.05,6.88,1554.31,2.48,39.26,0.533,0.454,0.603,0.544,3.38,1,167
2025-09-11 12:50:00,228.75,6.89,1575.42,2.75,52.76,0.716,0.660,0.619,0.840,2.84,1,168
2025-09-11 12:55:00,231.26,8.06,1863.23,2.43,39.34,0.398,0.362,0.418,0.416,2.64,1,169
2025-09-11 13:00:00,226.97,8.28,1878.30,2.87,40.91,0.612,0.572,0.716,0.500,3.80,1,170
2025-09-11 13:05:00,219.14,9.35,2047.98,3.16,42.50,0.405,0.425,0.329,0.468,3.32,1,171
2025-09-11 13:10:00,226.99,7.41,1681.13,2.37,51.72,0.503,0.541,0.434,0.486,3.20,1,172
2025-09-11 13:15:00,222.76,6.93,1543.97,3.29,43.43,0.794,0.762,0.877,0.799,2.66,1,173
2025-09-11 13:20:00,221.38,6.87,1520.37,2.67,40.39,0.325,0.373,0.315,0.386,3.85,1,174
2025-09-11 13:25:00,229.39,9.30,2133.60,3.08,41.23,0.380,0.375,0.437,0.379,2.64,1,175
2025-09-11 13:30:00,223.51,7.87,1759.37,2.36,47.92,0.324,0.337,0.369,0.347,2.93,1,176
2025-09-11 13:35:00,218.11,6.82,1488.08,2.20,42.50,0.483,0.395,0.396,0.495,3.04,1,177
2025-09-11 13:40:00,222.04,7.66,1700.62,2.68,47.35,0.713,0.744,0.607,0.598,3.06,1,178
2025-09-11 13:45:00,231.82,8.17,1894.74,2.55,40.45,0.601,0.491,0.490,0.653,3.71,1,179
2025-09-11 13:50:00,225.27,6.95,1564.92,3.34,40.38,0.766,0.733,0.801,0.871,3.39,1,180
2025-09-11 13:55:00,225.10,8.03,1807.38,2.73,91.62,0.537,0.454,0.520,0.496,3.85,1,181
2025-09-11 14:00:00,230.21,8.39,1930.95,2.90,42.51,0.628,0.648,0.559,0.515,3.22,1,182
2025-09-11 14:05:00,225.34,8.66,1952.24,3.16,44.46,0.711,0.731,0.768,0.623,3.16,1,183
2025-09-11 14:10:00,223.86,7.74,1732.45,2.31,46.53,0.606,0.690,0.661,0.656,3.28,1,184
2025-09-11 14:15:00,225.85,9.49,2144.33,2.72,44.41,0.778,0.789,0.793,0.833,3.80,1,185
2025-09-11 14:20:00,227.53,8.91,2027.51,2.40,46.23,0.779,0.716,0.916,0.929,3.66,1,186
2025-09-11 14:25:00,227.87,8.57,1953.00,2.73,46.16,0.580,0.632,0.531,0.597,3.31,1,187
2025-09-11 14:30:00,230.54,7.68,1771.38,2.52,51.14,0.373,0.441,0.310,0.437,3.48,1,188
2025-09-11 14:35:00,228.46,7.14,1631.67,3.24,42.61,0.581,0.490,0.637,0.520,2.58,1,189
2025-09-11 14:40:00,230.67,7.18,1655.54,2.35,39.70,0.465,0.499,0.398,0.552,3.97,1,190
2025-09-11 14:45:00,220.21,8.46,1862.70,3.32,46.09,0.625,0.572,0.572,0.515,3.65,1,191
2025-09-11 14:50:00,227.13,7.20,1634.59,3.11,52.46,0.319,0.308,0.362,0.374,2.55,1,192
2025-09-11 14:55:00,229.71,8.86,2036.09,2.28,50.73,0.736,0.600,0.677,0.766,3.89,1,193
2025-09-11 15:00:00,222.69,7.86,1751.03,2.96,46.91,0.745,0.746,0.677,0.837,3.00,1,194
2025-09-11 15:05:00,228.24,8.44,1927.42,3.08,38.24,0.469,0.501,0.411,0.489,3.46,1,195
2025-09-11 15:10:00,223.68,7.78,1740.90,2.49,44.81,0.348,0.345,0.408,0.279,3.08,1,196
2025-09-11 15:15:00,224.25,7.30,1637.28,2.49,47.90,0.586,0.553,0.525,0.626,3.20,1,197
2025-09-11 15:20:00,220.24,8.56,1884.83,3.38,53.09,0.685,0.723,0.806,0.649,2.83,1,198
2025-09-11 15:25:00,231.40,7.93,1836.08,2.68,54.81,0.487,0.567,0.537,0.546,3.74,1,199
2025-09-11 15:30:00,228.67,8.54,1953.04,2.89,51.39,0.563,0.532,0.657,0.475,3.74,1,200
2025-09-11 15:35:00,230.64,7.11,1639.04,2.80,40.80,0.727,0.780,0.790,0.724,3.85,1,201
2025-09-11 15:40:00,224.24,6.67,1494.97,2.20,45.06,0.582,0.622,0.537,0.471,2.88,1,202
2025-09-11 15:45:00,218.04,7.15,1559.81,2.11,45.20,0.650,0.536,0.753,0.777,3.21,1,203
2025-09-11 15:50:00,222.02,7.04,1563.00,2.20,48.91,0.665,0.631,0.769,0.651,3.88,1,204
2025-09-11 15:55:00,223.28,6.74,1505.11,3.45,52.87,0.366,0.311,0.439,0.351,2.69,1,205
2025-09-11 16:00:00,231.70,9.00,2086.35,3.13,54.63,0.532,0.515,0.506,0.474,3.19,1,206
2025-09-11 16:05:00,220.17,7.07,1555.61,3.31,51.01,0.316,0.331,0.371,0.365,2.86,1,207
2025-09-11 16:10:00,218.94,8.28,1813.24,2.67,49.42,0.736,0.602,0.718,0.748,3.63,1,208
2025-09-11 16:15:00,228.86,6.92,1583.84,3.49,41.98,0.758,0.782,0.841,0.855,2.86,1,209
2025-09-11 16:20:00,230.27,9.46,2177.66,2.78,45.03,0.438,0.454,0.479,0.381,3.52,1,210
2025-09-11 16:25:00,225.78,6.64,1499.34,2.52,48.94,0.491,0.529,0.473,0.451,2.78,1,211
2025-09-11 16:30:00,225.53,7.22,1628.99,2.34,52.58,0.372,0.306,0.359,0.360,3.29,1,212
2025-09-11 16:35:00,223.44,7.26,1623.27,2.50,39.34,0.525,0.532,0.594,0.431,3.07,1,213
2025-09-11 16:40:00,226.47,6.62,1498.92,2.11,51.68,0.594,0.527,0.525,0.690,2.95,1,214
2025-09-11 16:45:00,230.73,7.14,1646.33,2.29,50.61,0.673,0.785,0.726,0.728,3.09,1,215
2025-09-11 16:50:00,221.35,7.46,1652.35,2.42,45.93,0.624,0.589,0.720,0.616,3.70,1,216
2025-09-11 16:55:00,228.11,8.78,2003.95,2.48,41.45,0.456,0.523,0.501,0.368,3.33,1,217
2025-09-11 17:00:00,226.18,8.66,1958.70,2.44,41.34,0.415,0.373,0.423,0.489,3.01,1,218
2025-09-12 09:00:00,226.98,7.97,1809.47,2.25,51.51,0.385,0.419,0.383,0.449,3.31,1,219
2025-09-12 09:05:00,226.99,6.68,1515.40,2.05,52.39,0.773,0.825,0.854,0.746,3.76,1,220
2025-09-12 09:10:00,221.24,8.62,1907.42,2.01,46.60,0.487,0.510,0.519,0.509,3.22,1,221
2025-09-12 09:15:00,224.83,6.52,1465.85,2.83,38.20,0.565,0.514,0.673,0.456,3.72,1,222
2025-09-12 09:20:00,227.44,8.92,2028.39,3.36,39.82,0.348,0.299,0.305,0.352,3.72,1,223
2025-09-12 09:25:00,221.74,7.69,1705.35,2.56,44.90,0.583,0.697,0.519,0.625,3.77,1,224
2025-09-12 09:30:00,227.15,9.07,2061.33,3.14,39.59,0.490,0.500,0.403,0.394,2.76,1,225
2025-09-12 09:35:00,225.00,7.80,1755.37,3.18,47.62,0.729,0.611,0.737,0.596,2.82,1,226
2025-09-12 09:40:00,230.15,9.16,2108.82,2.71,38.79,0.337,0.395,0.391,0.346,2.55,1,227
2025-09-12 09:45:00,231.00,7.44,1719.46,3.44,47.98,0.676,0.734,0.649,0.562,2.74,1,228
2025-09-12 09:50:00,221.37,9.00,1993.17,2.58,53.24,0.466,0.513,0.399,0.557,3.59,1,229
2025-09-12 09:55:00,225.01,9.42,2120.27,2.08,45.43,0.719,0.673,0.797,0.850,3.10,1,230
2025-09-12 10:00:00,228.83,6.59,1507.73,2.41,54.87,0.545,0.514,0.642,0.530,3.52,1,231
2025-09-12 10:05:00,227.25,6.76,1535.54,2.93,51.57,0.657,0.547,0.566,0.712,3.45,1,232
2025-09-12 10:10:00,228.36,7.45,1701.25,2.16,38.09,0.454,0.429,0.412,0.387,2.78,1,233
2025-09-12 10:15:00,224.28,8.16,1831.10,2.61,38.45,0.477,0.399,0.496,0.443,3.08,1,234
2025-09-12 10:20:00,222.09,7.66,1701.93,2.13,53.32,0.753,0.897,0.774,0.653,3.07,1,235
2025-09-12 10:25:00,219.94,7.40,1628.33,2.74,39.08,0.517,0.501,0.514,0.430,2.88,1,236
2025-09-12 10:30:00,221.45,8.38,1854.69,2.89,41.32,0.353,0.326,0.417,0.330,3.43,1,237
2025-09-12 10:35:00,229.26,7.49,1716.82,2.50,51.86,0.730,0.868,0.624,0.677,3.92,1,238
